LON,LAT,NUMBER,STREET
-134.802986,58.5277688,,
-134.7662035,58.4318437,19400,Beardsley Way
-134.7664266,58.4312564,,
-134.5867621,58.4008918,9582,Whitewater Ct
-134.5857339,58.3999229,9478,Riverbend Ct
-134.7660088,58.4324005,19450,Beardsley Way
-134.5864162,58.400638,9578,Whitewater Ct
-134.5863472,58.400342,9581,Whitewater Ct
-134.7788817,58.5102302,25280,Glacier Hwy
-134.7708797,58.5071844,25150,Glacier Hwy
-134.7729712,58.5068341,25160,Glacier Hwy
-134.5713693,58.3836984,8525,Jennifer Dr
-134.549909,58.3599938,7630,Glacier Hwy
-134.5720456,58.3838599,3472,Tongass Blvd
-134.5720454,58.3837695,3470,Tongass Blvd
-134.4977328,58.3551683,5594,Tonsgard Ct
-134.4989208,58.3554847,5711,Concrete Way
-134.6195002,58.3914983,11265,Goat Hill Rd
-134.3158407,58.2556956,4970,Thane Rd
-134.3171106,58.256409,4900,Thane Rd
-134.6189726,58.3919532,11255,Goat Hill Rd
-134.3956286,58.2928458,880,S Franklin St
-134.3940956,58.2918856,900,Thane Rd
-134.6194913,58.3919745,11275,Goat Hill Rd
-134.755462,58.4259725,19006,Glacier Hwy
-134.4319294,58.3041145,1435,Harbor Way
-134.4253771,58.3011216,1000,Harbor Way
-134.4107845,58.300657,203,W Third St
-134.4109621,58.3005687,203,W Third St
-134.4104335,58.3004491,214,Dixon St
-134.4382714,58.3087409,1435,Harbor Way
-134.4351268,58.3066955,1435,Harbor Way
-134.4356126,58.30769,1435,Harbor Way
-134.435786,58.3076027,1435,Harbor Way
-134.4316162,58.3043489,1435,Harbor Way
-134.431782,58.3041926,1435,Harbor Way
-134.4312288,58.3040346,1435,Harbor Way
-134.4374927,58.3065847,1435,Harbor Way
-134.4371996,58.3067179,1435,Harbor Way
-134.4374374,58.3066987,1435,Harbor Way
-134.4385867,58.306922,1435,Harbor Way
-134.4345273,58.3051969,1435,Harbor Way
-134.4347605,58.3051712,1435,Harbor Way
-134.4344907,58.3053282,1435,Harbor Way
-134.4404115,58.3083605,1291,Harbor Way
-134.4417337,58.3087174,1291,Harbor Way
-134.4112171,58.2859321,,
-134.5878362,58.4013347,4621,River Rd
-134.5870723,58.4012552,4617,River Rd
-134.4466403,58.3019881,4050,N Douglas Hwy
-134.4462697,58.3017109,4030,N Douglas Hwy
-134.6234916,58.3506096,10649,Porter Ln
-134.7906447,58.4920339,,
-134.6259164,58.3496411,1160,Mendenhall Peninsula Rd
-134.6265189,58.3498231,,Mendenhall Peninsula Rd
-134.3966373,58.2787889,1302,2nd St
-134.7472751,58.3844947,16105,Pt Lena Way
-134.7478743,58.3846313,16125,Pt Lena Way
-134.7669851,58.3926639,17230,Pt Lena Loop Rd
-134.5674683,58.3898258,8535,Steep Pl
-134.6963698,58.3824347,13750,Glacier Hwy
-134.6955155,58.3824236,13740,Glacier Hwy
-134.6068318,58.3627232,2101,Industrial Blvd
-134.4390364,58.2997009,3700,N Douglas Hwy
-134.4375945,58.2989392,3670,N Douglas Hwy
-134.437203,58.2988049,3660,N Douglas Hwy
-134.4374108,58.2986779,3660,N Douglas Hwy
-134.4356278,58.2986436,,
-134.4344597,58.2985325,,
-134.417773,58.3046247,,
-134.7645222,58.3915318,17040,Island View Dr
-134.7656438,58.3913701,17041,Island View Dr
-134.7667128,58.3918495,17110,Pt Lena Loop Rd
-134.4350148,58.2993423,,
-134.6079975,58.364205,10009,Crazy Horse Dr
-134.6072039,58.3656989,10007,Crazy Horse Dr
-134.6071122,58.365213,10009,Crazy Horse Dr
-134.7659311,58.3918903,17051,Island View Dr
-134.7672379,58.392288,17200,Pt Lena Loop Rd
-134.7662819,58.3923,17061,Island View Dr
-134.4184995,58.3046822,,
-134.418458,58.3045659,317,W Twelfth St
-134.4182816,58.3046737,245,Irwin St
-134.5677284,58.3398693,9665,N Douglas Hwy
-134.4423967,58.3141526,1650,Glacier Hwy
-134.4438177,58.3141297,1670,Glacier Hwy
